CMDLINE /home/shuki/anaconda3/envs/torch/bin/python3.8 triplets_gui.py
MEM 2468.597656 1616577496.4998
MEM 2468.597656 1616577496.6001
MEM 2468.597656 1616577496.7003
MEM 2468.597656 1616577496.8005
MEM 2468.597656 1616577496.9008
MEM 2468.597656 1616577497.0011
MEM 2468.597656 1616577497.1013
MEM 2470.402344 1616577497.2016
MEM 2470.402344 1616577497.3018
MEM 2470.402344 1616577497.4021
MEM 2470.402344 1616577497.5024
MEM 2470.402344 1616577497.6026
MEM 2470.402344 1616577497.7029
MEM 2532.535156 1616577497.8031
MEM 2532.535156 1616577497.9033
MEM 2532.535156 1616577498.0036
MEM 2532.535156 1616577498.1038
MEM 2534.597656 1616577498.2041
MEM 2596.472656 1616577498.3044
MEM 2596.472656 1616577498.4046
MEM 2596.472656 1616577498.5049
MEM 2596.472656 1616577498.6052
MEM 2596.472656 1616577498.7054
MEM 2596.472656 1616577498.8057
MEM 2598.535156 1616577498.9059
MEM 2598.535156 1616577499.0062
MEM 2598.535156 1616577499.1064
MEM 2598.535156 1616577499.2067
MEM 2598.535156 1616577499.3069
MEM 2598.535156 1616577499.4072
MEM 2598.535156 1616577499.5074
MEM 2552.203125 1616577499.6077
MEM 913.171875 1616577499.7080
MEM 1228.421875 1616577499.8083
MEM 1460.082031 1616577499.9085
MEM 1601.003906 1616577500.0088
MEM 1730.066406 1616577500.1091
MEM 1882.363281 1616577500.2093
MEM 2022.023438 1616577500.3095
MEM 1245.472656 1616577500.4098
MEM 812.750000 1616577500.5100
MEM 834.019531 1616577500.6102
MEM 861.597656 1616577500.7105
MEM 889.957031 1616577500.8107
MEM 919.089844 1616577500.9110
MEM 947.449219 1616577501.0112
MEM 1059.550781 1616577501.1115
MEM 1374.027344 1616577501.2118
MEM 1618.632812 1616577501.3121
MEM 1758.218750 1616577501.4123
MEM 1881.535156 1616577501.5126
MEM 2033.250000 1616577501.6128
MEM 2091.640625 1616577501.7130
MEM 2181.734375 1616577501.8133
MEM 2485.269531 1616577501.9135
MEM 2485.269531 1616577502.0137
MEM 2485.269531 1616577502.1140
MEM 2485.269531 1616577502.2142
MEM 2487.332031 1616577502.3145
MEM 2487.332031 1616577502.4146
MEM 2487.332031 1616577502.5149
MEM 2487.332031 1616577502.6152
MEM 2487.332031 1616577502.7154
MEM 2487.332031 1616577502.8157
MEM 2487.332031 1616577502.9159
MEM 2487.332031 1616577503.0162
MEM 2487.332031 1616577503.1165
MEM 2487.332031 1616577503.2167
MEM 2487.332031 1616577503.3169
MEM 2487.332031 1616577503.4172
MEM 2487.332031 1616577503.5175
MEM 2549.464844 1616577503.6178
MEM 2549.464844 1616577503.7180
MEM 2549.464844 1616577503.8183
MEM 2549.464844 1616577503.9185
MEM 2549.464844 1616577504.0188
MEM 2551.269531 1616577504.1190
MEM 2551.269531 1616577504.2193
MEM 2551.269531 1616577504.3195
MEM 2551.269531 1616577504.4198
MEM 2551.269531 1616577504.5200
MEM 2551.269531 1616577504.6203
MEM 2613.402344 1616577504.7206
MEM 2613.402344 1616577504.8208
MEM 2613.402344 1616577504.9211
MEM 2613.402344 1616577505.0214
MEM 2613.402344 1616577505.1216
MEM 2613.402344 1616577505.2219
MEM 2613.402344 1616577505.3221
MEM 2613.402344 1616577505.4224
MEM 2613.402344 1616577505.5226
MEM 2613.402344 1616577505.6229
MEM 2615.464844 1616577505.7231
MEM 2615.464844 1616577505.8233
MEM 2615.464844 1616577505.9235
MEM 2615.464844 1616577506.0237
MEM 2615.464844 1616577506.1240
MEM 2615.464844 1616577506.2242
MEM 2677.339844 1616577506.3245
MEM 2677.339844 1616577506.4248
MEM 2677.339844 1616577506.5250
MEM 2677.339844 1616577506.6253
MEM 2677.339844 1616577506.7255
MEM 2679.402344 1616577506.8258
MEM 2679.402344 1616577506.9260
MEM 2679.402344 1616577507.0263
MEM 2679.402344 1616577507.1266
MEM 2679.402344 1616577507.2269
MEM 2679.402344 1616577507.3271
MEM 2679.402344 1616577507.4273
MEM 2679.402344 1616577507.5276
MEM 2679.402344 1616577507.6278
MEM 2679.402344 1616577507.7281
MEM 2741.277344 1616577507.8283
MEM 2741.277344 1616577507.9286
MEM 2741.277344 1616577508.0288
MEM 2743.339844 1616577508.1291
MEM 2743.339844 1616577508.2294
MEM 2743.339844 1616577508.3296
MEM 2743.339844 1616577508.4298
MEM 2743.339844 1616577508.5301
MEM 2743.339844 1616577508.6304
MEM 2743.339844 1616577508.7306
MEM 2743.339844 1616577508.8309
MEM 2743.339844 1616577508.9311
MEM 2743.339844 1616577509.0313
MEM 2805.472656 1616577509.1315
MEM 2805.472656 1616577509.2318
MEM 2805.472656 1616577509.3321
MEM 2805.472656 1616577509.4323
MEM 2807.277344 1616577509.5326
MEM 2807.277344 1616577509.6328
MEM 2807.277344 1616577509.7331
MEM 2807.277344 1616577509.8334
MEM 2807.277344 1616577509.9336
MEM 1002.886719 1616577510.0339
MEM 1213.066406 1616577510.1341
MEM 1533.914062 1616577510.2344
MEM 1803.824219 1616577510.3347
MEM 2081.882812 1616577510.4350
MEM 2493.171875 1616577510.5352
MEM 2495.234375 1616577510.6355
MEM 2495.234375 1616577510.7357
MEM 2495.234375 1616577510.8360
MEM 2495.234375 1616577510.9362
MEM 2495.234375 1616577511.0365
MEM 2495.234375 1616577511.1367
MEM 2495.234375 1616577511.2370
MEM 2495.234375 1616577511.3372
MEM 2495.234375 1616577511.4375
MEM 2495.234375 1616577511.5378
MEM 2495.234375 1616577511.6380
MEM 2495.234375 1616577511.7383
MEM 2557.109375 1616577511.8386
MEM 2557.109375 1616577511.9388
MEM 2557.109375 1616577512.0391
MEM 2557.109375 1616577512.1393
MEM 2559.171875 1616577512.2395
MEM 2559.171875 1616577512.3398
MEM 2559.171875 1616577512.4401
MEM 2621.046875 1616577512.5403
MEM 2621.046875 1616577512.6406
MEM 2621.046875 1616577512.7408
MEM 2621.046875 1616577512.8411
MEM 2621.046875 1616577512.9414
MEM 2621.046875 1616577513.0416
MEM 2623.109375 1616577513.1419
MEM 2623.109375 1616577513.2421
MEM 2623.109375 1616577513.3424
MEM 2623.109375 1616577513.4427
MEM 2623.109375 1616577513.5429
MEM 2623.109375 1616577513.6431
MEM 2685.242188 1616577513.7434
MEM 2685.242188 1616577513.8436
MEM 2685.242188 1616577513.9439
MEM 2685.242188 1616577514.0442
MEM 2685.242188 1616577514.1444
MEM 2685.242188 1616577514.2447
MEM 2687.046875 1616577514.3449
MEM 2687.046875 1616577514.4452
MEM 2687.046875 1616577514.5455
MEM 2687.046875 1616577514.6457
MEM 2687.046875 1616577514.7460
MEM 2687.046875 1616577514.8462
MEM 2687.046875 1616577514.9465
MEM 2687.046875 1616577515.0468
MEM 2749.179688 1616577515.1471
MEM 2749.179688 1616577515.2473
MEM 2749.179688 1616577515.3476
MEM 2749.179688 1616577515.4479
MEM 2751.242188 1616577515.5481
MEM 2751.242188 1616577515.6484
MEM 2751.242188 1616577515.7486
MEM 2751.242188 1616577515.8489
MEM 2751.242188 1616577515.9492
MEM 2751.242188 1616577516.0494
MEM 2751.242188 1616577516.1497
MEM 2753.242188 1616577516.2499
MEM 2755.042969 1616577516.3502
MEM 2759.167969 1616577516.4505
MEM 2767.160156 1616577516.5507
MEM 2815.113281 1616577516.6510
MEM 2815.113281 1616577516.7513
MEM 2877.246094 1616577516.8516
MEM 2877.246094 1616577516.9518
